_id,cod_ccr,nome_ccr,cr_ccr,ch_ccr,desc_matriz,fase_oferta,ccr_obrigatorio,ccr_optativo,nome_campus,cod_uffs,cod_emec,nome_curso,turno,per_ingresso,em_andamento,data_atualizacao
fefac64a-7a1d-4b01-883d-b853cdfd7736,GCA029,Tecnologia pós despesca,4,60,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,8,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
8d666810-1994-4906-9c07-f96b0e36e3fd,GCA030,Aquicultura em lagos e reservatórios,3,45,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,8,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
a436a9fb-59cb-4da6-b681-115f82619de1,GCA031,Patologia de organismos aquáticos cultiváveis,4,60,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,8,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
4c54e78a-922e-463b-ab67-1f317652fc8b,GCA042,Culturas de inverno,3,45,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,7,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
695ba39b-d910-4ffa-add0-5f1d5d811996,GCA032,Maricultura,4,60,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,7,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
663b6c29-b100-47ec-a4f0-312dfc39a7a3,GCA033,Introdução ao trabalho de conclusão de curso,2,30,22-ENGENHARIA DE AQUICULTURA - LARANJEIRAS DO SUL - 2010/1,9,Sim,Não,Laranjeiras do Sul,2510,5000392,ENGENHARIA DE AQUICULTURA,INTEGRAL,Sim,Sim,2020-01-21
95280fac-7114-4804-b92b-ab313bdd04f0,GCA034,Experimentação agrícola,3,45,5-AGRONOMIA - CHAPECÓ - 2010/2,4,Sim,Não,Chapecó,1501,1120217,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
294a90ca-2c94-415e-9ad6-7c082449e2c7,GCA034,Experimentação agrícola,3,45,36-AGRONOMIA - ERECHIM - 2010/1,3,Sim,Não,Erechim,5502,5000382,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
88fdeda9-4430-4036-aa0e-08eaf4937c14,GCA034,Experimentação agrícola,3,45,32-AGRONOMIA - CERRO LARGO - 2010/1,4,Sim,Não,Cerro Largo,4500,5000381,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
056f3358-4345-4622-bcf1-e78b0eed907d,GCA035,Fundamentos de zootecnia,2,30,36-AGRONOMIA - ERECHIM - 2010/1,4,Sim,Não,Erechim,5502,5000382,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
51f63de0-14e7-448c-81f7-3073538987fd,GCA036,Bromatologia,2,30,21-AGRONOMIA - LARANJEIRAS DO SUL - 2010/1,4,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
cc790429-bdde-45d4-b886-8dede11b1a68,GCA037,Química e fertilidade do solo,3,45,36-AGRONOMIA - ERECHIM - 2010/1,6,Sim,Não,Erechim,5502,5000382,AGRONOMIA,INTEGRAL,Não,Sim,2020-01-21
70ab32cd-7983-4a13-a478-1985411a334d,GCA037,Química e fertilidade do solo,3,45,80-AGRONOMIA - LARANJEIRAS DO SUL - 2017/1,4,Sim,Não,Laranjeiras do Sul,2503,5000383,AGRONOMIA,INTEGRAL,Sim,Sim,2020-01-21
